Date,Open,High,Low,Close,Volume,Ticker,Name,Simple_Return,Log_Return,Vol_7d,Vol_30d,Vol_90d,Close_Diff1,Close_Diff2
2015-01-02,2058.89990234375,2072.360107421875,2046.0400390625,2058.199951171875,2708700000,^GSPC,S&P 500,,,,,,,
2015-01-05,2054.43994140625,2054.43994140625,2017.3399658203125,2020.5799560546875,3799120000,^GSPC,S&P 500,-0.0182781051451137,-0.0184472135325872,,,,-37.6199951171875,
2015-01-06,2022.1500244140625,2030.25,1992.43994140625,2002.6099853515625,4460110000,^GSPC,S&P 500,-0.0088934717229465,-0.0089332546907001,,,,-17.969970703125,19.6500244140625
2015-01-07,2005.550048828125,2029.6099853515625,2005.550048828125,2025.9000244140625,3805480000,^GSPC,S&P 500,0.0116298426717429,0.0115627358448763,,,,23.2900390625,41.260009765625
2015-01-08,2030.6099853515625,2064.080078125,2030.6099853515625,2062.139892578125,3934010000,^GSPC,S&P 500,0.0178882806295161,0.0177301681271556,,,,36.2398681640625,12.9498291015625
2015-01-09,2063.449951171875,2064.429931640625,2038.3299560546875,2044.81005859375,3364140000,^GSPC,S&P 500,-0.0084038110347154,-0.0084393221470787,,,,-17.329833984375,-53.5697021484375
2015-01-12,2046.1300048828125,2049.300048828125,2022.5799560546875,2028.260009765625,3456460000,^GSPC,S&P 500,-0.0080936851609125,-0.0081266168434704,,,,-16.550048828125,0.77978515625
2015-01-13,2031.5799560546875,2056.929931640625,2008.25,2023.030029296875,4107300000,^GSPC,S&P 500,-0.0025785552362955,-0.0025818854358163,20.180528032188917,,,-5.22998046875,11.320068359375
2015-01-14,2018.4000244140625,2018.4000244140625,1988.43994140625,2011.27001953125,4378680000,^GSPC,S&P 500,-0.0058130673273852,-0.0058300289679756,17.17984783837024,,,-11.760009765625,-6.530029296875
2015-01-15,2013.75,2021.3499755859373,1991.469970703125,1992.6700439453125,4276720000,^GSPC,S&P 500,-0.0092478759218379,-0.0092909030045675,17.25337028973904,,,-18.5999755859375,-6.8399658203125
2015-01-16,1992.25,2020.4599609375,1988.1199951171875,2019.4200439453125,4056410000,^GSPC,S&P 500,0.0134241993958204,0.0133348931862672,17.80673944929197,,,26.75,45.3499755859375
2015-01-20,2020.760009765625,2028.93994140625,2004.489990234375,2022.550048828125,3944340000,^GSPC,S&P 500,0.0015499523698385,0.0015487524334003,12.811149156510796,,,3.1300048828125,-23.6199951171875
2015-01-21,2020.18994140625,2038.2900390625,2012.0400390625,2032.1199951171875,3730070000,^GSPC,S&P 500,0.0047316239687653,0.0047204650221893,12.798151428496512,,,9.5699462890625,6.43994140625
2015-01-22,2034.300048828125,2064.6201171875,2026.3800048828125,2063.14990234375,4176050000,^GSPC,S&P 500,0.0152697219165804,0.0151543130706303,14.743849030726604,,,31.0299072265625,21.4599609375
2015-01-23,2062.97998046875,2062.97998046875,2050.5400390625,2051.820068359375,3573560000,^GSPC,S&P 500,-0.0054915224393071,-0.0055066562793019,15.257452965202592,,,-11.329833984375,-42.3597412109375
2015-01-26,2050.419921875,2057.6201171875,2040.969970703125,2057.090087890625,3465760000,^GSPC,S&P 500,0.0025684608570302,0.0025651679986232,14.241261532564153,,,5.27001953125,16.599853515625
2015-01-27,2047.8599853515625,2047.8599853515625,2019.9100341796875,2029.550048828125,3329810000,^GSPC,S&P 500,-0.013387862410411,-0.0134782878158575,15.90989350277425,,,-27.5400390625,-32.81005859375
2015-01-28,2032.3399658203125,2042.489990234375,2001.489990234375,2002.1600341796875,4067530000,^GSPC,S&P 500,-0.0134956093663483,-0.013587502811022,16.484495337839412,,,-27.3900146484375,0.1500244140625
2015-01-29,2002.449951171875,2024.6400146484373,1989.1800537109373,2021.25,4127140000,^GSPC,S&P 500,0.0095346852870998,0.0094895170582635,17.690353048785045,,,19.0899658203125,46.47998046875
2015-01-30,2019.3499755859373,2023.3199462890625,1993.3800048828125,1994.989990234375,4568650000,^GSPC,S&P 500,-0.0129919652520098,-0.0130770990063184,18.842394074181595,,,-26.260009765625,-45.3499755859375
2015-02-02,1996.6700439453125,2021.6600341796875,1980.9000244140625,2020.8499755859373,4008330000,^GSPC,S&P 500,0.0129624637106695,0.0128791700002152,17.96950122157334,,,25.859985351562273,52.11999511718727
2015-02-03,2022.7099609375,2050.300048828125,2022.7099609375,2050.030029296875,4615900000,^GSPC,S&P 500,0.0144394952932995,0.014336238577453,20.54730000194023,,,29.180053710937727,3.3200683593754547
