Date,Open,High,Low,Close,Volume,Ticker,Name,Simple_Return,Log_Return,Vol_7d,Vol_30d,Vol_90d,Close_Diff1,Close_Diff2
2015-01-02,39.59687852454508,40.241832689033295,39.49504433799439,39.681739807128906,27913900,MSFT,Microsoft,,,,,,,
2015-01-05,39.35077606659908,39.6562818618999,39.24894188058228,39.31683349609375,39673900,MSFT,Microsoft,-0.0091958243970341,-0.0092383670005951,,,,-0.36490631103515625,
2015-01-06,39.35926155043784,39.67325215841664,38.64641582066825,38.73976516723633,36447900,MSFT,Microsoft,-0.0146773856779375,-0.0147861642048624,,,,-0.5770683288574219,-0.21216201782226562
2015-01-07,39.01981148910945,39.427151459518015,38.60398668561439,39.23196792602539,29114100,MSFT,Microsoft,0.0127053624786899,0.0126253265713606,,,,0.4922027587890625,1.0692710876464844
2015-01-08,39.67324374632928,40.521869281010126,39.64778601620871,40.38608932495117,29645200,MSFT,Microsoft,0.0294178818942234,0.0289934792671275,,,,1.1541213989257812,0.6619186401367188
2015-01-09,40.40307829728728,40.58128895352623,39.80055470490753,40.046653747558594,23944200,MSFT,Microsoft,-0.0084047646867078,-0.0084402838817663,,,,-0.3394355773925781,-1.4935569763183594
2015-01-12,40.24183622488522,40.34367365763429,39.34229489635681,39.54596328735352,23651900,MSFT,Microsoft,-0.0125026790842817,-0.0125814952072812,,,,-0.500690460205071,-0.1612548828124929
2015-01-13,39.85995890885959,40.65766607643976,39.08770948194394,39.3422966003418,35270600,MSFT,Microsoft,-0.0051501258303361,-0.005163433438605,25.511810806269946,,,-0.20366668701172586,0.29702377319334516
2015-01-14,39.00283432006836,39.24045170475696,38.71430146792861,39.00283432006836,29719600,MSFT,Microsoft,-0.0086284307121635,-0.0086658711441302,25.438513631556443,,,-0.3394622802734375,-0.13579559326171164
2015-01-15,39.223493215161824,39.359273240338126,38.53610501675302,38.59550857543945,32750800,MSFT,Microsoft,-0.0104434908829003,-0.0104984068110898,24.58875140009842,,,-0.40732574462890625,-0.06786346435546875
2015-01-16,38.45124464447692,39.274409650709416,38.33243428698087,39.2404670715332,35695300,MSFT,Microsoft,0.0167107137565787,0.0165726260191804,25.570397859056,,,0.64495849609375,1.0522842407226562
2015-01-20,39.29136419845734,39.58838509752569,38.67186790577153,39.36774063110352,36161900,MSFT,Microsoft,0.0032434262145326,0.0032381776535461,16.311267622127794,,,0.1272735595703196,-0.5176849365234304
2015-01-21,38.98587549558627,39.1556013352916,38.59550833033981,38.96890258789063,39081100,MSFT,Microsoft,-0.010131087962355,-0.0101827567039422,16.557906942102072,,,-0.3988380432128906,-0.5261116027832102
2015-01-22,39.35925830557058,40.004212371119095,39.10467125962379,39.9957275390625,35898000,MSFT,Microsoft,0.0263498554740144,0.0260086783655436,22.9950523552348,,,1.026824951171868,1.4256629943847585
2015-01-23,40.19091512194385,40.216372857943526,39.71568354736503,40.03816223144531,26211600,MSFT,Microsoft,0.0010609806345283,0.0010604181923665,22.522802305086497,,,0.0424346923828125,-0.9843902587890554
2015-01-26,39.88540936263555,39.995731614111214,39.24045523137454,39.89389419555664,42525500,MSFT,Microsoft,-0.0036032631831279,-0.0036097705725053,21.657260525647725,,,-0.14426803588867188,-0.18670272827148438
2015-01-27,36.44847574322658,36.66063217568163,35.73563000068763,36.20237350463867,169164000,MSFT,Microsoft,-0.0925334757449958,-0.0970986013967791,64.5548878936788,,,-3.6915206909179688,-3.547252655029297
