Date,Open,High,Low,Close,Volume,Ticker,Name,Simple_Return,Log_Return,Vol_7d,Vol_30d,Vol_90d,Close_Diff1,Close_Diff2
2015-01-02,79.16765736326838,79.82193916651475,78.29245513029099,79.04019927978516,2437500,AXP,American Express,,,,,,,
2015-01-05,78.56435925603387,78.83626679696974,76.7459763605027,76.94990539550781,3469600,AXP,American Express,-0.0264459591868961,-0.0268019438327426,,,,-2.0902938842773438,
2015-01-06,77.14537139237778,77.23884025297241,74.72369291967519,75.30998992919922,4800300,AXP,American Express,-0.0213114682582096,-0.0215418364673978,,,,-1.6399154663085938,0.45037841796875
2015-01-07,77.55981983116396,77.55981983116396,76.29854314707529,76.95475006103516,5665200,AXP,American Express,0.0218398665752341,0.0216047931793254,,,,1.6447601318359375,3.2846755981445312
2015-01-08,77.92628407627511,78.24159842272061,77.55130863524481,78.04559326171875,3774200,AXP,American Express,0.0141751249899246,0.0140755973474942,,,,1.0908432006835938,-0.5539169311523438
2015-01-09,78.04556814130157,78.23305580147033,76.9036008029377,77.05699920654297,3681700,AXP,American Express,-0.0126668786008278,-0.0127477874756261,,,,-0.9885940551757812,-2.079437255859375
2015-01-12,77.12519180042118,77.50016718921799,75.91505222985595,76.27297973632812,3230700,AXP,American Express,-0.0101745393447435,-0.0102266537650187,,,,-0.7840194702148438,0.2045745849609375
2015-01-13,76.92917192738045,77.67059868442068,75.36110501824967,76.04287719726562,3537600,AXP,American Express,-0.0030168290246159,-0.0030213888263686,28.32312595880612,,,-0.2301025390625,0.5539169311523438
2015-01-14,74.51743878277709,75.35260311941134,73.50330415785793,74.20211791992188,6628400,AXP,American Express,-0.0242068599346729,-0.0245046616872889,27.623115963346883,,,-1.84075927734375,-1.61065673828125
2015-01-15,74.56855896918952,75.02023034321921,72.05453586754464,73.18797302246094,5830900,AXP,American Express,-0.0136673308780134,-0.0137615886649445,26.03828028567913,,,-1.0141448974609375,0.8266143798828125
2015-01-16,72.89823470664392,73.46921533851261,72.21646232402887,73.3243408203125,6768700,AXP,American Express,0.0018632541962833,0.0018615204914045,19.806613316017547,,,0.1363677978515625,1.1505126953125
2015-01-20,73.68226421611344,74.75605338217503,73.64817494872989,74.3640365600586,6364100,AXP,American Express,0.0141794079307708,0.0140798204167621,19.80849208035004,,,1.0396957397460938,0.9033279418945312
2015-01-21,74.61969608185714,74.75605315096962,73.94644768230584,74.71343994140625,7185700,AXP,American Express,0.0046985531919783,0.0046875494452602,20.40126612047452,,,0.34940338134765625,-0.6902923583984375
2015-01-22,72.01192353967001,73.3925095032312,71.1597114267745,71.90113830566406,16390100,AXP,American Express,-0.0376411745724427,-0.0383678984584699,28.961217812599088,,,-2.8123016357421875,-3.1617050170898438
2015-01-23,71.95227575586048,72.71074408791148,71.5517349846253,71.69660949707031,7366100,AXP,American Express,-0.0028445837355768,-0.0028486372527621,28.974956022831737,,,-0.20452880859375,2.6077728271484375
2015-01-26,71.39833125288541,71.84148520178779,70.83587462772479,70.98927307128906,6632800,AXP,American Express,-0.0098656886391559,-0.0099146770143212,26.81236109699745,,,-0.70733642578125,-0.5028076171875
2015-01-27,70.30747940827379,70.97220362783615,69.94955198264185,70.22225952148438,6329500,AXP,American Express,-0.0108046401466096,-0.0108634341532065,26.5295796654675,,,-0.7670135498046875,-0.0596771240234375
