,Forecast,Lower_95,Upper_95
2024-12-31,292.6348260342387,288.0070472434496,297.2626048250278
2025-01-01,292.6348260342387,286.13480552477466,299.13484654370274
2025-01-02,292.6348260342387,284.69226997775235,300.57738209072505
2025-01-03,292.6348260342387,283.47414228260726,301.79550978587014
2025-01-06,292.6348260342387,282.39998080412505,302.86967126435235
2025-01-07,292.6348260342387,281.42831065382916,303.84134141464824
2025-01-08,292.6348260342387,280.534416245379,304.7352358230984
2025-01-09,292.6348260342387,279.7021601394857,305.56749192899167
2025-01-10,292.6348260342387,278.9203163006652,306.3493357678122
2025-01-13,292.6348260342387,278.1807018020599,307.0889502664175
2025-01-14,292.6348260342387,277.47713368328255,307.79251838519485
2025-01-15,292.6348260342387,276.8048049510812,308.4648471173962
2025-01-16,292.6348260342387,276.1598905994582,309.1097614690192
2025-01-17,292.6348260342387,275.5392877956467,309.7303642728307
2025-01-20,292.6348260342387,274.9404382868727,310.3292137816047
2025-01-21,292.6348260342387,274.3612032997858,310.9084487686916
2025-01-22,292.6348260342387,273.79977312939957,311.46987893907783
2025-01-23,292.6348260342387,273.25460033856984,312.01505172990755
2025-01-24,292.6348260342387,272.7243494427043,312.5453026257731
2025-01-27,292.6348260342387,272.2078583642928,313.0617937041846
2025-01-28,292.6348260342387,271.70410845752883,313.56554361094857
2025-01-29,292.6348260342387,271.21220088317546,314.05745118530194
2025-01-30,292.6348260342387,270.7313377629623,314.5383143055151
2025-01-31,292.6348260342387,270.260806982291,315.0088450861864
2025-02-03,292.6348260342387,269.79996981345437,315.46968225502303
2025-02-04,292.6348260342387,269.3482507447963,315.9214013236811
2025-02-05,292.6348260342387,268.9051290534965,316.3645230149809
2025-02-06,292.6348260342387,268.4701317699857,316.7995202984917
2025-02-07,292.6348260342387,268.0428277630165,317.2268243054609
2025-02-10,292.6348260342387,267.6228227346473,317.6468293338301
