,name,ann_return,ann_vol,sharpe,var_95,cvar_95,max_drawdown
AXP,American Express,13.119194203278756,30.676490378948408,0.2972698014221587,2.775377355172894,4.4812073495619655,49.638503955549695
AAPL,Apple,23.433862044604258,28.469882222676475,0.682611255382189,2.7367265253224495,4.170762741076873,38.5158991193767
MSFT,Microsoft,23.64634948551326,27.134666451920648,0.724031361149186,2.6941982264672015,3.971822213470042,37.14850226673547
GSPC,S&P 500,10.56812350098744,17.893068872631996,0.367076410857256,1.7051254808051974,2.7860006822919727,33.92496000265327
IXIC,NASDAQ,14.198668185088287,21.40982969539968,0.476354475032544,2.2095124389806418,3.326080969992799,36.395279909120205
